Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,RecYds,RecTD,Fum,Lost,FantasyPoints
44,Giovani Bernard,RB,16,CIN,DEN,8,14,2,0,5,4,29,0,0,0,8.30
45,Chris Thompson,RB,16,WAS,PHI,0,0,0,0,1,1,12,1,0,0,8.20
46,Chris Ivory,RB,16,NYJ,NE,11,38,4,0,4,4,4,0,1,0,8.20
47,Jeremy Hill,RB,16,CIN,DEN,19,63,3,0,2,2,-2,0,0,0,8.10
48,Charcandrick West,RB,16,KC,CLE,14,62,4,0,1,1,-1,0,0,0,7.10
49,Duke Johnson,RB,16,CLE,KC,8,26,3,0,4,3,15,0,0,0,7.10
50,Cameron Artis-Payne,RB,16,CAR,ATL,5,49,10,0,1,1,7,0,0,0,6.60
1,Rashad Jennings,RB,17,NYG,PHI,27,170,6,1,5,2,6,0,0,0,28.60
2,Ronnie Hillman,RB,17,DEN,SD,15,117,8,1,3,2,10,0,0,0,23.70
3,DuJuan Harris,RB,17,SF,LA,16,67,4,0,12,8,86,0,0,0,23.30
4,Tim Hightower,RB,17,NO,ATL,16,66,4,1,5,5,41,0,0,0,21.70
5,Jonathan Grimes,RB,17,HOU,JAX,4,26,7,1,5,4,28,1,0,0,21.40
6,Matt Forte,RB,17,CHI,DET,17,76,5,0,3,3,34,1,0,0,20.00
7,Jeremy Hill,RB,17,CIN,BAL,16,96,6,1,3,2,19,0,0,0,19.50
8,Darren McFadden,RB,17,DAL,WAS,12,92,8,0,8,5,53,0,1,1,18.50
9,Charles Sims,RB,17,TB,CAR,4,15,4,0,11,9,74,0,0,0,17.90
10,Doug Martin,RB,17,TB,CAR,15,48,3,0,7,7,60,0,0,0,17.80
11,Devonta Freeman,RB,17,ATL,NO,25,76,3,0,4,2,18,1,1,1,16.40
12,CJ Anderson,RB,17,DEN,SD,15,95,6,1,3,1,-5,0,1,1,15.00
13,Alfred Blue,RB,17,HOU,JAX,21,102,5,0,1,1,2,0,0,0,14.40
14,Shane Vereen,RB,17,NYG,PHI,4,12,3,0,8,6,72,0,0,0,14.40
15,Danny Woodhead,RB,17,SD,DEN,5,11,2,0,10,8,51,0,0,0,14.20
16,Cameron Artis-Payne,RB,17,CAR,TB,14,44,3,1,2,2,17,0,0,0,14.10
17,Adrian Peterson,RB,17,MIN,GB,19,67,4,1,1,1,1,0,0,0,13.80
18,Spencer Ware,RB,17,KC,OAK,16,76,5,1,0,0,0,0,0,0,13.60
19,Darren Sproles,RB,17,PHI,NYG,3,24,8,1,3,3,20,0,0,0,13.40
20,David Cobb,RB,17,TEN,IND,19,73,4,1,0,0,0,0,0,0,13.30
21,Travaris Cadet,RB,17,NO,ATL,3,6,2,0,6,6,77,0,1,1,13.30
22,Christine Michael,RB,17,SEA,ARI,17,102,6,0,1,0,0,0,0,0,13.20
23,Alfred Morris,RB,17,WAS,DAL,19,100,5,0,0,0,0,0,0,0,13.00
24,Javorius Allen,RB,17,BAL,CIN,15,38,3,0,10,6,32,0,0,0,13.00
25,Steven Jackson,RB,17,NE,MIA,14,35,3,1,1,1,20,0,0,0,12.50
26,DeMarco Murray,RB,17,PHI,NYG,12,69,6,1,1,0,0,0,1,1,11.90
27,Karlos Williams,RB,17,BUF,NYJ,6,24,4,1,3,3,3,0,0,0,11.70
28,Donald Brown,RB,17,SD,DEN,21,81,4,0,3,2,10,0,0,0,11.10
29,Tre Mason,RB,17,LA,SF,18,44,2,1,0,0,0,0,1,0,10.40
30,Benjamin Cunningham,RB,17,LA,SF,4,38,10,0,3,3,34,0,0,0,10.20
31,Kyle Juszczyk,FB,17,BAL,CIN,0,0,0,0,2,2,18,1,0,0,9.80
32,Latavius Murray,RB,17,OAK,KC,11,31,3,0,6,4,25,0,0,0,9.60
33,David Johnson,RB,17,ARI,SEA,11,25,2,0,8,3,34,0,0,0,8.90
34,Kenjon Barner,RB,17,PHI,NYG,5,18,4,0,5,5,21,0,0,0,8.90
35,James White,RB,17,NE,MIA,3,5,2,0,3,2,63,0,0,0,8.80
36,Duke Johnson,RB,17,CLE,PIT,4,11,3,0,6,4,34,0,0,0,8.50
37,Chris Ivory,RB,17,NYJ,BUF,6,81,14,0,0,0,0,0,0,0,8.10
38,Bryce Brown,RB,17,SEA,ARI,9,20,2,1,0,0,0,0,0,0,8.00
39,Damien Williams,RB,17,MIA,NE,3,11,4,0,3,3,38,0,0,0,7.90
40,Joique Bell,RB,17,DET,CHI,3,9,3,0,2,2,49,0,0,0,7.80
41,Jerick McKinnon,RB,17,MIN,GB,4,15,4,0,4,3,33,0,0,0,7.80
42,Will Tukuafu,FB,17,SEA,ARI,0,0,0,0,1,1,7,1,0,0,7.70
43,Frank Gore,RB,17,IND,TEN,19,76,4,0,4,0,0,0,0,0,7.60
44,Mike Tolbert,FB,17,CAR,TB,10,59,6,0,1,1,5,0,0,0,7.40
45,Lamar Miller,RB,17,MIA,NE,19,60,3,0,2,1,3,0,0,0,7.30
46,Theo Riddick,RB,17,DET,CHI,2,4,2,0,5,4,29,0,0,0,7.30
47,James Starks,RB,17,GB,MIN,8,24,3,0,3,3,18,0,0,0,7.20
48,Mike Davis,RB,17,SF,LA,10,34,3,0,3,2,15,0,0,0,6.90
49,Akeem Hunt,RB,17,HOU,JAX,3,28,9,0,3,1,27,0,0,0,6.50
50,Ameer Abdullah,RB,17,DET,CHI,10,44,4,0,1,1,7,0,0,0,6.10
